event_name,start_ns,end_ns,total_time_ns,start_event_id,end_event_id
xrt::device::device,641113,20659329,20018216,1,2
xrt::device::load_xclbin,20781078,22777680892,22756899814,3,4
xrt::kernel::kernel,22782295431,22783212601,917170,5,6
xrt::kernel::group_id,22783368405,22783368532,127,7,8
xrt::bo::bo,22783372427,23003984740,220612313,9,10
xrt::kernel::group_id,23003999321,23004000620,1299,11,12
xrt::bo::bo,23004004576,23193305590,189301014,13,14
xrt::kernel::group_id,23193320790,23193321717,927,15,16
xrt::bo::bo,23193326410,24444729252,1251402842,17,18
xrt::kernel::group_id,24444742479,24444743163,684,19,20
xrt::bo::bo,24444746659,25654839707,1210093048,21,22
xrt::kernel::group_id,25654852775,25654853682,907,23,24
xrt::bo::bo,25654857755,25757254206,102396451,25,26
xrt::kernel::group_id,25757267049,25757267962,913,27,28
xrt::bo::bo,25757271664,25859312685,102041021,29,30
xrt::kernel::group_id,25859325763,25859326729,966,31,32
xrt::bo::bo,25859330416,25884932119,25601703,33,34
xrt::kernel::group_id,25884946554,25884947614,1060,35,36
xrt::bo::bo,25884951464,25910575334,25623870,37,38
xrt::kernel::group_id,25910588706,25910589974,1268,39,40
xrt::bo::bo,25910595020,26017620924,107025904,41,42
xrt::kernel::group_id,26017634511,26017635612,1101,43,44
xrt::bo::bo,26017639376,26119850503,102211127,45,46
xrt::kernel::group_id,26119863832,26119864633,801,47,48
xrt::bo::bo,26119868643,26226746834,106878191,49,50
xrt::kernel::group_id,26226760521,26226761361,840,51,52
xrt::bo::bo,26226764978,26328647623,101882645,53,54
xrt::bo::write,26328891529,26328900299,8770,55,56
xrt::bo::write,26328902147,26328910108,7961,57,58
xrt::bo::write,26330453409,26331121382,667973,59,60
xrt::bo::write,26331123068,26331791181,668113,61,62
xrt::bo::write,26331807777,26331811700,3923,63,64
xrt::bo::write,26331812890,26331816385,3495,65,66
xrt::bo::write,26331818125,26331818352,227,67,68
xrt::bo::write,26331833711,26331837466,3755,69,70
xrt::bo::write,26331838589,26331842054,3465,71,72
xrt::bo::write,26331857830,26331861803,3973,73,74
xrt::bo::write,26331862567,26331866032,3465,75,76
xrt::bo::size,26331883849,26331883997,148,77,78
xrt::bo::sync,26331893520,26427074486,95180966,79,81
WRITE,26331893549,26427074486,95180937,80,82
xrt::bo::size,26427092022,26427092317,295,83,84
xrt::bo::sync,26427095432,26524948896,97853464,85,87
WRITE,26427095457,26524948896,97853439,86,88
xrt::bo::size,26524965436,26524965793,357,89,90
xrt::bo::sync,26524968865,27186034119,661065254,91,93
WRITE,26524968890,27186034119,661065229,92,94
xrt::bo::size,27186050642,27186050965,323,95,96
xrt::bo::sync,27186053855,27840950872,654897017,97,99
WRITE,27186053880,27840950872,654896992,98,100
xrt::bo::size,27840968781,27840969069,288,101,102
xrt::bo::sync,27840972107,27896801965,55829858,103,105
WRITE,27840972131,27896801965,55829834,104,106
xrt::bo::size,27896821640,27896821994,354,107,108
xrt::bo::sync,27896825196,27955009621,58184425,109,111
WRITE,27896825220,27955009621,58184401,110,112
xrt::bo::size,27955083979,27955086754,2775,113,114
xrt::bo::sync,27955095266,27979585805,24490539,115,117
WRITE,27955095298,27979585805,24490507,116,118
xrt::bo::size,27979605455,27979606042,587,119,120
xrt::bo::sync,27979610230,28003349126,23738896,121,123
WRITE,27979610262,28003349126,23738864,122,124
xrt::bo::size,28003378004,28003378505,501,125,126
xrt::bo::sync,28003383105,28061263971,57880866,127,129
WRITE,28003383134,28061263971,57880837,128,130
xrt::bo::size,28061283798,28061284102,304,131,132
xrt::bo::sync,28061287072,28114204813,52917741,133,135
WRITE,28061287097,28114204813,52917716,134,136
xrt::bo::size,28114237408,28114238176,768,137,138
xrt::bo::sync,28114241810,28169663091,55421281,139,141
WRITE,28114241834,28169663091,55421257,140,142
xrt::bo::size,28169680047,28169680348,301,143,144
xrt::bo::sync,28169683123,28222636342,52953219,145,147
WRITE,28169683146,28222636342,52953196,146,148
xrt::bo::address,28222664865,28222667367,2502,149,150
xrt::bo::address,28222669173,28222669770,597,151,152
xrt::bo::address,28222671340,28222672166,826,153,154
xrt::bo::address,28222672864,28222673587,723,155,156
xrt::bo::address,28222674398,28222674976,578,157,158
xrt::bo::address,28222675554,28222676369,815,159,160
xrt::run::run,28222697606,28222706159,8553,161,162
xrt::bo::address,28222714799,28222714845,46,163,164
xrt::bo::size,28222716883,28222716914,31,165,166
xrt::bo::address,28222719283,28222719307,24,167,168
xrt::bo::size,28222720120,28222720145,25,169,170
xrt::bo::address,28222721432,28222721455,23,171,172
xrt::bo::size,28222722012,28222722036,24,173,174
xrt::bo::address,28222723107,28222723133,26,175,176
xrt::bo::size,28222723726,28222723749,23,177,178
xrt::bo::address,28222724937,28222724962,25,179,180
xrt::bo::size,28222725768,28222725792,24,181,182
xrt::bo::address,28222726595,28222726620,25,183,184
xrt::bo::size,28222727134,28222727159,25,185,186
xrt::run::start,28222728626,28222737790,9164,187,188
xrt::run::wait,28222739892,1110446540094,1082223800202,189,190
xrt::bo::size,1110448639624,1110448640177,553,191,192
xrt::bo::sync,1110449037359,1110495067663,46030304,193,195
READ,1110449037385,1110495067663,46030278,194,196
xrt::bo::size,1110495841747,1110495842141,394,197,198
xrt::bo::sync,1110495851588,1110519033875,23182287,199,201
READ,1110495851629,1110519033875,23182246,200,202
xrt::bo::read,1110533277645,1110533279034,1389,203,204
