event_name,start_ns,end_ns,total_time_ns,start_event_id,end_event_id
xrt::device::device,149791,7770706,7620915,1,2
xrt::device::load_xclbin,7785410,21468108139,21460322729,3,4
xrt::kernel::kernel,21468143249,21468638220,494971,5,6
xrt::kernel::group_id,21468730686,21468730780,94,7,8
xrt::bo::bo,21468738066,21695474054,226735988,9,10
xrt::kernel::group_id,21695484639,21695485645,1006,11,12
xrt::bo::bo,21695488203,23339840906,1644352703,13,14
xrt::kernel::group_id,23339851850,23339852592,742,15,16
xrt::bo::bo,23339855551,23471161942,131306391,17,18
xrt::kernel::group_id,23471182740,23471184673,1933,19,20
xrt::bo::bo,23471188270,23492158721,20970451,21,22
xrt::kernel::group_id,23492169008,23492169880,872,23,24
xrt::bo::bo,23492172844,23627759460,135586616,25,26
xrt::kernel::group_id,23627769454,23627770294,840,27,28
xrt::bo::bo,23627772482,23759266062,131493580,29,30
xrt::bo::size,23759289024,23759289350,326,31,32
xrt::bo::write,23759291276,23759433663,142387,33,34
xrt::bo::size,23759435112,23759435252,140,35,36
xrt::bo::write,23759436206,23760331484,895278,37,38
xrt::bo::size,23760332428,23760332471,43,39,40
xrt::bo::write,23760332930,23760342871,9941,41,42
xrt::bo::size,23760343580,23760343648,68,43,44
xrt::bo::write,23760344079,23760344164,85,45,46
xrt::bo::size,23760344670,23760344687,17,47,48
xrt::bo::write,23760345375,23760404693,59318,49,50
xrt::bo::size,23760405453,23760405480,27,51,52
xrt::bo::write,23760405846,23760462584,56738,53,54
xrt::bo::size,23760463343,23760463431,88,55,56
xrt::bo::sync,23760469245,23882418273,121949028,57,59
WRITE,23760469261,23882418273,121949012,58,60
xrt::bo::size,23882446210,23882446478,268,61,62
xrt::bo::sync,23882449503,24832262714,949813211,63,65
WRITE,23882449519,24832262714,949813195,64,66
xrt::bo::size,24832277973,24832278194,221,67,68
xrt::bo::sync,24832280603,24902273092,69992489,69,71
WRITE,24832280620,24902273092,69992472,70,72
xrt::bo::size,24902302726,24902303025,299,73,74
xrt::bo::sync,24902306492,24922673484,20366992,75,77
WRITE,24902306510,24922673484,20366974,76,78
xrt::bo::size,24922688450,24922688702,252,79,80
xrt::bo::sync,24922692295,24990798796,68106501,81,83
WRITE,24922692317,24990798796,68106479,82,84
xrt::bo::size,24990825565,24990826068,503,85,86
xrt::bo::sync,24990828894,25056258631,65429737,87,89
WRITE,24990828911,25056258631,65429720,88,90
xrt::run::run,25056304124,25056315387,11263,91,92
xrt::bo::address,25056323951,25056323993,42,93,94
xrt::bo::size,25056325890,25056326148,258,95,96
xrt::bo::address,25056328694,25056328709,15,97,98
xrt::bo::size,25056329646,25056329661,15,99,100
xrt::bo::address,25056331220,25056331236,16,101,102
xrt::bo::size,25056331634,25056331649,15,103,104
xrt::bo::address,25056332707,25056332723,16,105,106
xrt::bo::size,25056333126,25056333141,15,107,108
xrt::bo::address,25056333849,25056333866,17,109,110
xrt::bo::size,25056334875,25056334891,16,111,112
xrt::bo::address,25056335408,25056335424,16,113,114
xrt::bo::size,25056335931,25056335946,15,115,116
xrt::run::start,25056337937,25056342301,4364,117,118
xrt::run::wait,25056343917,505181548209,480125204292,119,120
xrt::bo::size,505183474089,505183475072,983,121,122
xrt::bo::sync,505183926706,505347962198,164035492,123,125
READ,505183926736,505347962198,164035462,124,126
xrt::bo::size,505359468501,505359468765,264,127,128
xrt::bo::sync,505359474324,505380033018,20558694,129,131
READ,505359474340,505380033018,20558678,130,132
xrt::bo::size,505380038652,505380038702,50,133,134
xrt::bo::read,505380044663,505380106292,61629,135,136
xrt::bo::size,505380107283,505380107307,24,137,138
xrt::bo::read,505380108077,505380108107,30,139,140
