Target device: xilinx_u55c_gen3x16_xdma_base_3-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
181.302,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
217.36,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
246.506,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
275.508,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
304.399,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
333.285,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
362.24,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
391.25,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
420.779,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
449.622,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
478.708,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
507.567,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
537.015,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
565.846,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
