Target device: xilinx_u55c_gen3x16_xdma_base_3-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
594.7,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
624.172,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
653.016,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
681.907,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
711.34,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
740.169,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
769.059,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
797.99,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
826.822,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
856.397,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
885.755,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
914.579,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
943.416,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
972.391,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
1001.87,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
1030.73,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
1060.11,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
1088.93,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
1118.26,568,12216,1256,12192,8300,853,1040,3312,35,36,0,0,0,0,0,0,0,48,44,39,32,0,45,0,
1147.14,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6722.24,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6751.79,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6781.11,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6810.67,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6839.54,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6869.06,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6897.91,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6926.82,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6955.67,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
6984.51,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7017.49,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7050.57,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7085.21,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7115.22,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7147.64,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7179.22,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7209.54,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7239.76,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7273.77,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7303.9,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7333.99,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7363.9,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
7393.8,441,12224,1040,12200,6500,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,39,32,0,45,0,
