event_name,start_ns,end_ns,total_time_ns,start_event_id,end_event_id
xrt::device::device,3991183,256383446,252392263,1,6
xrt::device::device,6052238,203151262,197099024,2,3
xrt::device::device,208734000,226981545,18247545,4,5
xrt::device::load_xclbin,256388245,6747731139,6491342894,7,16
xrt::bo::bo,6688303245,6737442905,49139660,8,9
xrt::bo::sync,6737464927,6747046392,9581465,10,12
WRITE,6737464957,6747046392,9581435,11,13
xrt::bo::address,6747172541,6747176428,3887,14,15
xrt::kernel::kernel,6747755425,6764137285,16381860,17,18
xrt::kernel::group_id,6764168765,6764168905,140,19,20
xrt::bo::bo,6764172021,6764372661,200640,21,22
xrt::kernel::group_id,6764374845,6764374936,91,23,24
xrt::bo::bo,6764376268,6765505338,1129070,25,26
xrt::kernel::group_id,6765508624,6765508734,110,27,28
xrt::bo::bo,6765510077,6765533431,23354,29,30
xrt::kernel::group_id,6765534803,6765534853,50,31,32
xrt::bo::bo,6765536436,6765551024,14588,33,34
xrt::kernel::group_id,6765552367,6765552417,50,35,36
xrt::bo::bo,6765553499,6765573477,19978,37,38
xrt::kernel::group_id,6765574699,6765574749,50,39,40
xrt::bo::bo,6765575731,6765670120,94389,41,42
xrt::bo::size,6765672825,6765672965,140,43,44
xrt::bo::write,6765675139,6765694927,19788,45,46
xrt::bo::size,6765696309,6765696370,61,47,48
xrt::bo::write,6765697311,6765845913,148602,49,50
xrt::bo::size,6765847185,6765847245,60,51,52
xrt::bo::write,6765848097,6765862234,14137,53,54
xrt::bo::size,6765863166,6765863216,50,55,56
xrt::bo::write,6765864017,6765864077,60,57,58
xrt::bo::size,6765865019,6765865059,40,59,60
xrt::bo::write,6765866081,6765876771,10690,61,62
xrt::bo::size,6765877613,6765877653,40,63,64
xrt::bo::write,6765878555,6765884756,6201,65,66
xrt::bo::size,6765885829,6765885879,50,67,68
xrt::bo::sync,6765889666,6765957995,68329,69,71
WRITE,6765889706,6765957995,68289,70,72
xrt::bo::size,6765961352,6765961402,50,73,74
xrt::bo::sync,6765962634,6766178373,215739,75,77
WRITE,6765962664,6766178373,215709,76,78
xrt::bo::size,6766179765,6766179806,41,79,80
xrt::bo::sync,6766180868,6766212938,32070,81,83
WRITE,6766180898,6766212938,32040,82,84
xrt::bo::size,6766214201,6766214241,40,85,86
xrt::bo::sync,6766215383,6766233076,17693,87,89
WRITE,6766215413,6766233076,17663,88,90
xrt::bo::size,6766234259,6766234289,30,91,92
xrt::bo::sync,6766235371,6766267131,31760,93,95
WRITE,6766235401,6766267131,31730,94,96
xrt::bo::size,6766268403,6766268454,51,97,98
xrt::bo::sync,6766269506,6766303640,34134,99,101
WRITE,6766269536,6766303640,34104,100,102
xrt::run::run,6766305734,6766353515,47781,103,104
xrt::bo::address,6766358654,6766358725,71,105,106
xrt::bo::size,6766360117,6766360147,30,107,108
xrt::bo::address,6766362943,6766362983,40,109,110
xrt::bo::size,6766364065,6766364095,30,111,112
xrt::bo::address,6766366339,6766366369,30,113,114
xrt::bo::size,6766367201,6766367231,30,115,116
xrt::bo::address,6766369244,6766369285,41,117,118
xrt::bo::size,6766370106,6766370136,30,119,120
xrt::bo::address,6766371990,6766372020,30,121,122
xrt::bo::size,6766372982,6766373022,40,123,124
xrt::bo::address,6766374845,6766374875,30,125,126
xrt::bo::size,6766375687,6766375727,40,127,128
